0,1,2,3,4,5,davinci_correct,davinci_choiceA_probs,davinci_choiceB_probs,davinci_choiceC_probs,davinci_choiceD_probs
Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,True,0.0001634436072835291,0.9997075060818712,6.60371869018336e-05,6.301312394358279e-05
"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,True,0.00444181244996015,0.0023775308771791055,0.003569096571636092,0.9896115601012245
Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,False,0.03250667082176574,0.9649442467949256,0.0015203572259644632,0.0010287251573441118
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,False,0.20216250899798932,0.49259969866098513,0.15500337237716488,0.15023441996386072
Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,True,0.01717892806258051,0.9677110301279651,0.009788258157346446,0.005321783652107961
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,True,0.03956732050017438,0.30639604740468024,0.5377418098718124,0.11629482222333304
What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,True,0.021571895527813106,0.0009186421110594091,0.0010909144991265716,0.976418547862001
Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,True,0.012947453555956617,0.268311637703929,0.6851577695163525,0.03358313922376191
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,False,0.1913486939860955,0.5366506835094179,0.24569658652815138,0.026304035976335276
Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,True,0.1030304684524684,0.19248625617867224,0.5398410555755326,0.16464221979332674
Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,True,0.015647048509954548,0.08458714507402049,0.8151786613420043,0.08458714507402049
"What makes a relationships last, according to Sternberg?",intimacy,commitment,decision,passion,B,True,0.1570354378722964,0.6508938023101329,0.11310838279488623,0.07896237702268447
The position that abortion is murder is held by certain people in which religion?,Orthodox Jews,Fundamentalist Protestants,Eastern Orthodox Christians,all of the above,D,False,0.000468377874387791,0.8737288742925056,0.0018816425929959898,0.12392110524011077
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",legalism,asceticism,situationism,hedonism,B,True,0.0023912077802326326,0.9798736018832263,0.01333708613110222,0.004398104205438964
Ovaries and testes,are homologous,produce gametes,produce sex hormones,all of the above,D,True,0.002233954245005503,0.24256584983817117,0.008044778273167281,0.7471554176436559
Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:,the cortical activity of these two groups,the overall brain weights of these two groups,the cell structure in the hypothalamus of these two groups,blood volume and metabolism of sugars in the brains of these two groups,C,False,0.874582140519675,0.011009364387554068,0.11294163926326793,0.001466855829503012
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",sociobiology,psychoanalytic theory,script theory,social learning theory,D,True,0.00410033289043589,0.27429198102803204,0.010148421368590024,0.711459264712942
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",Mexican Americans and whites; African Americans,Mexican Americans; African Americans and whites,African Americans; whites and Latinos,Whites; African Americans and Latinos,A,False,0.07478998596012774,0.8970028133739044,0.017764178725387356,0.010443021940580407
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",Kinsey,Freud,Masters and Johnson,Kaplan,A,False,0.009018482313795045,0.009600124450883542,0.9792393159291508,0.0021420773061705018
Which of the following characteristics are generally consistent with date rape?,use of excessive force,premeditated,sexually motivated,involves use of a weapon,C,True,0.003431816991414846,0.006214217773776833,0.9665324337478282,0.023821531486980164
"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.",Gender identity,Sexual nomenclature,Gender schema,Intrapsychic sexual orientation,A,True,0.998246233152367,0.001454627672205215,0.0002733164418216638,2.5822733606072382e-05
The average male genital size is approximately,4 inches,5 inches,7 inches,1 foot,B,False,0.03436777406316014,0.43877832224323343,0.44568807539607475,0.08116582829753159
People who cannot reach orgasm without touching a woman's shoe would certainly be considered sexually abnormal or deviant by which of the following definitions?,psychological,sociological,statistical,b and c,D,False,0.08328560477997894,0.5182204456455097,0.013385214770765297,0.38510873480374597
"If a woman or man repeatedly experiences pain during intercourse, she will probably want to have intercourse infrequently or not all. In this situation, __________ would likely classify the pain as a punishment.",Sigmund Freud,John Money,B. F. Skinner,Havelock Ellis,C,False,0.4734464577505641,0.45176576596508794,0.052295683207983626,0.022492093076364256
"What seems to be the case when the folk saying ""opposites attract"" (i.e., dissimilar attitudes tend to cause liking) when it is considered in light of current research?",It does not seem to be true.,It seems to be true for heterosexuals but not for homosexuals.,It seems to be true for homosexuals but not for heterosexuals.,It seems to be true for women but not for men,A,False,0.08592705781336227,0.7083042771799344,0.18190758281836616,0.023861082188337195
The egg can be fertilized until about _______ after ovulation.,6 hours,24 hours,72 hours,1 week,B,False,0.004660919114224158,0.22811221148040017,0.7363552386549457,0.030871630750430052
"After releasing an egg, the follicle, under stimulation of luteinizing hormone, turns into a a glandular mass of cells called the __________",corpus cavernosum,corpus luteum,corpus callosum,corpus glandula,B,True,9.522289667295318e-05,0.9985234573486955,0.0008290520371460328,0.0005522677174855404
How is endometriosis generally treated?,antiprosaglandin drugs,prostaglandin drugs,hormones,aspirin,C,False,0.39311113449225066,0.2701810681098798,0.3158736705330398,0.020834126864829758
"Before the Masters and Johnson research, it was thought that vaginal lubrication was due to secretions of",Cowper's gland,Prostate gland,Bartholin glands,Adrenal gland,C,True,0.09611198817242109,0.13343828082842585,0.7213605308171138,0.04908920018203928
Buffy and Willow were discussing their sexual fantasies. Buffy revealed that she sometimes fantasizes about sex with other women even though she normally finds herself attracted to men. She also fantasizes about group sex. Which of the following statements can be inferred from Buffy's fantasies?,Buffy's fantasies suggest that she must be a latent homosexual or bisexual.,Buffy's fantasies are indicative of a paraphilia.,Buffy's fantasies indicate that she is not getting enough sex to keep her satisfied.,Buffy's fantasies are fairly typical and tell us little about her sexual tendencies.,D,False,0.23790917451037638,0.5797018856432017,0.10393482096010072,0.07845411888632114
The environment for sperm passage is most hospitable just at,preovulation,proliferation,ovulation,menstruation,C,True,0.020086465558788288,0.036944664272511335,0.9235004001859582,0.019468469982742057
Secretions of Cowper's gland fluid at the tip of the penis are first evident:,following orgasm,immediately before orgasm,prior to vasocongestion,during the plateau phase,D,False,0.055517511558818254,0.9101173020612685,0.02010711021529629,0.014258076164616768
Which of the following restrictions existed in at least one culture? No sex,for a period of time following childbirth,during menstruation,between parents and children,all of the above,D,True,0.2853718278325089,0.1961329977382665,0.009764886967589178,0.5087302874616354
Which of the following teenagers have the highest pregnancy rates?,U.S.,Canadian,Swedish,French,A,True,0.7830655682021226,0.10433338866491677,0.04417753633629563,0.068423506796665
The onset (the very beginning) of labor is first triggered by,hormones secreted by the Mother's ovaries,hormones secreted by the Mother's hypothalamus,hormones secreted by the fetus' adrenal gland,the placenta and uterus secretion of prostaglandins,C,False,0.04821706814840408,0.08201999584756471,0.02834535209132021,0.8414175839127109
One of the first models of the physiology of the human sexual response was provided by,Henry Havelock Ellis,Sigmund Freud,Linda George and Stephen Weiler,William Masters and Virginia Johnson,D,True,0.0012649348202592072,0.29999643623386946,0.0012260168672415844,0.6975126120786298
"An adult feels himself becoming aroused when looking at a child and realizes that the response is totally inappropriate, as a result he feels anxiety rather than arousal. This is an example of __________ according to Walen and Roth's cognitive model of the sexual response.",negative perception,negative evaluation,negative arousal,cognitive dissonance,B,False,0.021870464427865083,0.25823940223284464,0.6292395773716748,0.0906505559676155
We are attracted to a person who is similar to us in attitudes because:,we get positive reinforcement from that person agreeing with us,the other person's agreement bolsters our sense of rightness,we anticipate positive interactions with that person,all of the above,D,True,0.002139574457105019,0.0012977175069722067,0.003064798905976097,0.9934979091299466
