0,1,2,3,4,5,davinci_correct,davinci_choiceA_probs,davinci_choiceB_probs,davinci_choiceC_probs,davinci_choiceD_probs
<<<<<<< HEAD
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,True,0.2682526244051759,0.4026948845488212,0.1327946785252229,0.19625781252078006
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,True,0.3406465653089034,0.15354143637530948,0.148817463004185,0.356994535311602
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,False,0.09368462010192737,0.47576975821661166,0.3944269831112198,0.03611863857024112
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,True,0.3492772436624652,0.30823608567541055,0.18989874352477673,0.15258792713734745
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.18306313708353192,0.326345326584914,0.1693057250753399,0.3212858112562142
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.27300660970458107,0.2371922529706137,0.16049230640727213,0.32930883091753316
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,False,0.42169790050864486,0.24406002084250855,0.10496890695886484,0.22927317168998174
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.18070634794730736,0.2548367965516371,0.39469895170603786,0.16975790379501765
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,True,0.32483881085627986,0.23397261830063418,0.16333921184906722,0.27784935899401864
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,True,0.11451178766701478,0.09794712250260082,0.040830435308132455,0.7467106545222519
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.40933923580765574,0.22605859592263625,0.10031289386137561,0.2642892744083324
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,False,0.003910273227112112,0.07494333170015711,0.008149709240569725,0.9129966858321611
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.16513620487869574,0.6040431389513505,0.12081622839418844,0.11000442777576527
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.10961614240438664,0.7374768134870415,0.0894660879937298,0.0634409561148421
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.24055911097621696,0.2683630808806969,0.2947391839384966,0.19633862420458956
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.441957643121204,0.3496172719468108,0.14574216209823787,0.06268292283374732
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.2640192987818348,0.170463671207017,0.1369714078087481,0.4285456222024001
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.2733603955743935,0.3565291682527523,0.17927412426519854,0.1908363119076556
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,True,0.1381326450799483,0.6190675657116913,0.13180709072324265,0.11099269848511764
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,False,0.22670583660378363,0.4951710721266172,0.18794573980598467,0.09017735146361426
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,True,0.015101265235294469,0.03566441920011532,0.9055373557278803,0.04369695983671009
The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,False,0.33018496741379666,0.35701507391847437,0.04331084236703182,0.2694891163006972
Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,False,0.5266137610162257,0.3000554762940003,0.0846345333153794,0.08869622937439454
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,False,0.5573999222311964,0.3655517936807084,0.0635233767232802,0.013524907364814947
"When a country combines its religion with its government, it is called a",dictatorship.,theocracy.,democracy.,autocracy.,B,True,0.008784505990124621,0.9841117785811795,0.004776053064661219,0.0023276623640346725
What is the chief religion practiced in Europe?,Christianity,Islam,Hinduism,Animism,A,True,0.8896028829070706,0.08404901698337003,0.017895068358153528,0.008453031751405791
Which group enacted the first effective settlement in the eastern United States?,French,"British (English, Scotch-Irish, Welsh, Scottish)",Russian,Chinese,B,True,0.06210060834576577,0.8984138190213635,0.0183569047635996,0.021128667869270992
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",future social spending needs of the population.,"the impact of ""baby booms"" on the population.",the impact of wars on the population.,a quick visual depiction of the country's demographics.,B,False,0.2843831234291468,0.20805913770942566,0.2048334797613472,0.30272425910008044
The Rhine River is an example of which type of boundary?,Geometric,Artificial,Natural,Relict,C,False,0.20740486054964627,0.4189693350269643,0.3113515722692502,0.06227423215413927
Which type of economic activity is most closely tied to the physical environment?,Primary,Secondary,Tertiary,Quaternary,A,True,0.6887034866171166,0.21004269616944818,0.07146342820058799,0.029790389012847182
The majority of workers in periphery countries are probably employed in which type of activities?,Primary,Secondary,Tertiary,Quaternary,A,False,0.17825189216633586,0.49991979446100804,0.22183806404835865,0.09999024932429762
All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D,False,0.31081632542100174,0.22040177795850666,0.20704830928153636,0.26173358733895535
Transnational corporations distribute their operations,manufacturing goods where production costs are the highest.,conducting accounting and research services where economical.,based on comparative advantage.,with headquarters located in LDCs.,C,True,0.11151513552055055,0.1524231182446262,0.6725223373176723,0.06353940891715099
Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,A predominance of gentle slopes,Frequent flooding,Deep dissection and erosion,D,False,0.28630048857074586,0.2229710446926227,0.2606795613118302,0.23004890542480125
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,United States,Japan,France,United Kingdom,B,False,0.4629244865186411,0.23277305003755586,0.08563241956758824,0.2186700438762148
One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it,limits the marine climate of Europe to coastal areas,provides a corridor for communication between southern and northern Europe,enables marine-like climatic conditions to extend eastward into Germany and Poland,effectively prevents population movement between parts of the Mediterranean region,C,False,0.31364233471426645,0.39033419219860854,0.16527789598145307,0.13074557710567186
The largest Hindu temple complex ever constructed is found in,Calcutta.,Bombay.,Cambodia.,Bali.,C,False,0.09649924945229348,0.5553148391307126,0.23883793617801782,0.10934797523897616
Which term describes the forces that unify and strengthen a country?,Diffusion,Centrifugal,Centripetal,Ethnocentric,C,True,0.017585870993268166,0.03285473239109783,0.9161872774731475,0.03337211914248639
Which one of the following statements best describes an application of the S-curve?,Graph of the Bantu migration,Graph of the growth of human populations since their first appearance on Earth,The chart showing how cities associate with one another based on their population sizes,A model showing the decrease in population growth for several countries after they industrialize,D,True,0.13690807867237728,0.1625823661610902,0.2853409388706458,0.4151686162958867
Which of the following items is NOT a challenge to the state?,Transnational corporations,EU,World Trade Organization,Good transportation network,D,False,0.5408702148394426,0.18986330225977854,0.13463324145038943,0.13463324145038943
"National sports teams, flags, national anthems, and national holidays all promote",nationalism.,sectarianism.,political unrest.,functional disputes.,A,True,0.9605184284012784,0.019321590864608985,0.005801393621640505,0.014358587112472133
"The process whereby immigrants learn the values, language, and customs of their new country is called",assimilation.,acculturation.,adaptation.,amalgamation.,B,False,0.5394328817722119,0.447205566293129,0.009726881767713965,0.003634670166945101
"On which of the following can one most accurately depict true geographical distance, true direction, true size, and true shape?",A Mercator projection,A globe,A conic projection,A gnomonic projection,B,True,0.34587328924601995,0.3980977156792995,0.062011663723984964,0.19401733135069563
Which of the following could be considered a higher-order central place function?,Winn-Dixie grocery store,Mercedes-Benz dealership,Shoe store,Family doctor,B,False,0.3719009097182626,0.31810370534889554,0.06987811059605316,0.24011727433678878
Which geographer viewed the US urban community of the 1920s as a set of concentric rings radiating outward from a central core?,Rostow,Ravenstein,Von Thünen,Burgess,D,False,0.1550341280854749,0.3439582466122489,0.1676318614134742,0.333375763888802
"To get to school in the morning, we ALL use this as our guide:",Rand-McNally Road Atlas.,world globe.,road map.,mental map.,D,False,0.056629101261624834,0.08369238633695152,0.5809403069375964,0.27873820546382727
"Of these, the map using the smallest map scale would be the map of",the world.,"Atlanta, Georgia.","Main Street, Small Town, Ohio.",Pennsylvania.,A,False,0.26967191818113695,0.31527841395948053,0.2915848669831129,0.12346480087626963
An earlier boundary formed before meticulous geographic knowledge and mapping was available is known as,an antecedent boundary.,a geometric boundary.,a relict boundary.,a subsequent boundary.,A,True,0.50628336453075,0.12407007432294477,0.3218132864105176,0.047833274735787745
Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D,False,0.30754787845446796,0.3377752648397395,0.11138646014443528,0.24329039656135706
In which of the following regions is subsistence agriculture being replaced by large-scale commercial development?,The Swiss Alps,The Amazon Basin,North Africa,The Alaskan tundra,B,True,0.21279583583564662,0.39139144169128054,0.1657255635831357,0.23008715888993703
A strong movement away from all religions is called,secularism.,heathenism.,sacrilege.,nationalism.,A,True,0.9442945263028217,0.028964273310220508,0.010993598135393802,0.01574760225156398
Regions share all of these characteristics EXCEPT,boundaries.,common features.,relative location.,easily defined.,D,False,0.2779463796599852,0.314954510147237,0.23042564203095234,0.1766734681618254
Which of the following U.S. main immigration flow associations is NOT correct?,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans",1870–1914—Asians,1870–1914—Eastern and southern Europeans,1965–present—Hispanics,B,False,0.3516799814424168,0.2533055882242033,0.13771985952244267,0.2572945708109371
Which one of the statements below is characteristic of most African cities?,"They have thriving, clean residential areas.",There are jobs for most rural-to-urban migrants.,They have three separate business districts.,They have a well-developed infrastructure.,C,False,0.40032900767009916,0.22108267535714285,0.07640412815840593,0.30218418881435194
Which country faces a serious trade disadvantage due to its location?,Singapore,Italy,Spain,Mongolia,D,False,0.36549248328084477,0.3770944601154876,0.14767231236987471,0.10974074423379279
"In which zone of Burgess's concentric zone model would one find better houses, single-family homes, and higher-rent apartments?",First,Second,Third,Fourth,C,False,0.3797673514068189,0.3857478169875109,0.15106101561060137,0.08342381599506887
The theory that every society develops economically according to a five-stage pattern of growth is attributed to,Rostow.,Ravenstein.,von Thünen.,Burgess.,A,True,0.9011470856733833,0.058515606206750136,0.022210018956663028,0.018127289163203605
Which of the following would NOT be considered a barrier to diffusion of a cultural trait?,Language,Religion,Oceans,Tolerant complaisant citizens,D,False,0.39304180677085604,0.21705830080570568,0.20711847753274956,0.1827814148906886
The process of invasion and succession is a process involving migration and is best described as when,new residents tear down and rebuild housing units.,new residents live peacefully with old residents.,new residents assimilate with old residents completely.,new residents move into areas occupied by older resident groups.,D,True,0.022357835530695987,0.029160114759643564,0.012541609078571872,0.9359404406310886
Which of the following best illustrates the definition of a functional region?,A map showing Atlanta as a hub for Delta Airlines,An article describing the region referred to as the South,A map showing North Carolina's one hundred counties,An essay explaining the region known as the Bible Belt,A,True,0.5674792624342119,0.27227952572731323,0.053615017534768696,0.10662619430370611
New stores opening around a large shopping mall reflect which concept?,Gravity concept,Distance decay,Complementarity,Movement bias,D,False,0.18218440543132616,0.35669974974295415,0.3298933402242884,0.1312225046014313
The birth of an urban industrial workforce in Europe contributed to the start of the,First Agricultural Revolution.,Second Agricultural Revolution.,Third Agricultural Revolution.,Fourth Agricultural Revolution.,B,True,0.20839254069661875,0.5490412174623209,0.17276348424909102,0.06980275759196931
Which of the following statements about East Asia's industrial regions is true?,Japan has a rich natural resource base.,China lacks natural resources but has a massive labor force.,China is industrializing rapidly.,Taiwan lacks industrial enterprise and an educated workforce.,C,True,0.15940629802737608,0.27976676570174763,0.4265933751134461,0.13423356115743026
Which of the following statements best describes the United Nations?,The UN operates a worldwide police force.,Member states surrender sovereignty to the UN.,World laws are enforced by the UN.,The UN often practices interventionism in world conflicts.,D,True,0.23348128357050477,0.24853953262183176,0.13303362527460386,0.38494555853305956
Which of the following is a formal region?,Dixie,Pennsylvania,The market area of Winn-Dixie,The Pacific Northwest,B,False,0.33334336687276783,0.3180784627266078,0.19596245612099644,0.15261571427962786
The concentration of production activities and people spatially to benefit everyone is called,the substitution principle.,deglomeration.,agglomeration.,infrastructure.,C,True,0.028756794312297548,0.06686154998235272,0.89459764920051,0.009784006504839717
"Which language family contains Italian, Spanish, Portuguese, and Romanian?",European,Slavic,Germanic,Romance,D,True,0.009897448179886827,0.016065144131643453,0.01070169311832492,0.9633357145701449
"Ankara, Turkey and Islamabad, Pakistan are both examples of",desert cities.,forward-thrust capitals.,old colonial capitals.,rival cities.,B,True,0.18292263748031948,0.4527378758281201,0.16655295675679468,0.19778652993476573
Which of the following is NOT an example of syncretism?,Halloween,Foreign cuisine changed to suit American tastes,Hasidic Judaism,Catholicism in Louisiana,C,False,0.4380141689222989,0.2741022628918189,0.12163214184538164,0.16625142634050058
The theory that whoever controlled the landmass of Europe would rule the world is called the,devolution theory.,domino theory.,heartland theory.,rimland theory.,C,True,0.021184034166877096,0.06838289994819328,0.8461932764005299,0.06423978948439972
